image,bee,xmin,ymin,xmax,ymax
1206,8,1982,586,2021,694
1206,9,1886,586,1925,685
1206,10,2100,581,2148,683
1206,11,1210,550,1263,641
1206,12,1592,541,1698,623
1206,13,1363,528,1414,611
1206,14,1308,503,1346,600
1206,15,1936,537,2043,599
1206,16,816,463,880,557
1206,17,1234,490,1273,554
1206,18,1060,497,1097,553
1206,19,1115,496,1162,547
1206,20,949,501,987,538
1207,0,631,1176,741,1297
1207,1,690,750,779,875
1207,2,1133,679,1227,786
1207,3,2036,651,2081,773
1207,4,1426,658,1510,727
1207,5,1329,593,1373,722
1207,6,1739,589,1778,703
1207,7,1010,567,1049,702
1207,8,1985,584,2023,692
1207,9,1886,585,1925,684
1207,10,2100,581,2148,683
1207,11,1210,550,1263,641
1207,12,1601,538,1702,629
1207,13,1365,529,1415,610
1207,14,1309,519,1351,607
1207,15,1933,539,2051,594
1207,16,816,461,890,557
1207,17,1061,497,1098,554
1207,18,1235,490,1273,553
1207,19,1117,496,1156,553
1207,20,947,502,982,540
1207,21,1400,491,1432,528
1207,22,1461,347,1520,503
1208,0,1844,1235,1911,1409
1208,1,632,1181,756,1294
1208,2,691,750,781,876
1208,3,1138,697,1243,794
1208,4,2043,643,2085,773
1208,5,1426,659,1509,726
1208,6,1329,590,1375,723
1208,7,1730,588,1779,696
1208,8,1985,587,2029,693
1208,9,1886,585,1925,685
1208,10,2100,581,2147,682
1208,11,1010,560,1054,682
1208,12,1209,550,1262,641
1208,13,1606,541,1707,627
1208,14,1307,519,1346,611
1208,15,1367,529,1417,610
1208,16,1943,533,2049,590
1208,17,820,455,885,560
1208,18,1233,491,1273,555
1208,19,1062,497,1098,554
1208,20,1116,496,1158,540
1208,21,939,501,970,539
1208,22,1401,492,1430,527
1208,23,1545,482,1591,515
1209,0,1841,1239,1910,1407
1209,1,637,1191,758,1287
1209,2,690,750,781,875
1209,3,1151,702,1247,801
1209,4,2047,636,2090,758
1209,5,1427,660,1511,726
1209,6,1328,590,1379,724
1209,7,1724,590,1781,695
1209,8,1978,590,2034,691
1209,9,1886,585,1925,685
1209,10,2100,581,2148,682
1209,11,1013,545,1049,676
1209,12,1206,550,1267,642
1209,13,1603,543,1714,623
1209,14,1306,526,1348,616
1209,15,1373,530,1416,608
1209,16,1953,542,2061,590
1209,17,824,452,888,563
1209,18,1062,499,1099,555
1209,19,1233,490,1272,553
1209,20,939,501,968,539
1209,21,1116,496,1154,536
1209,22,1401,492,1431,528
1209,23,1544,483,1591,517
1210,0,1892,1241,1965,1395
1210,1,637,1197,760,1285
1210,2,690,750,781,876
1210,3,1162,715,1266,813
1210,4,2052,622,2092,749
1210,5,1427,659,1511,724
1210,6,1327,591,1381,722
1210,7,1708,592,1782,694
1210,8,1965,588,2036,690
1210,9,1887,585,1926,685
1210,10,2100,581,2148,682
1210,11,1013,538,1055,662
1210,12,1202,548,1266,641
1210,13,1302,540,1351,638
1210,14,1610,541,1719,622
1210,15,1372,530,1416,607
1210,16,1958,544,2064,589
1210,17,828,451,878,571
1210,18,1063,498,1097,555
1210,19,1233,490,1273,553
1210,20,934,502,965,536
1210,21,1400,492,1431,528
1210,22,1543,482,1592,516
1211,0,1929,1210,2021,1378
1211,1,635,1198,760,1283
1211,2,690,751,781,873
1211,3,1176,723,1261,816
1211,4,2052,614,2092,749
1211,5,1426,659,1511,725
1211,6,1327,591,1389,722
1211,7,1704,590,1778,689
1211,8,1957,587,2031,685
1211,9,1887,585,1927,685
1211,10,2101,580,2148,684
1211,11,1012,535,1050,655
1211,12,1293,550,1356,644
1211,13,1202,548,1266,640
1211,14,1597,537,1716,616
1211,15,1371,530,1416,606
1211,16,825,456,868,569
1211,17,1065,498,1097,556
1211,18,1233,490,1273,553
1211,19,870,503,897,548
1211,20,1400,492,1431,528
1211,21,1543,482,1592,516
1212,0,1956,1186,2035,1350
1212,1,636,1193,754,1289
1212,2,690,751,781,873
1212,3,1174,728,1284,819
1212,4,2051,617,2090,747
1212,5,1427,658,1509,726
1212,6,1328,590,1396,721
1212,7,1696,593,1776,688
1212,8,1885,585,1925,685
1212,9,1957,585,2028,685
1212,10,1289,564,1350,655
1212,11,1007,528,1048,655
1212,12,1202,548,1266,639
1212,13,1599,542,1715,612
1212,14,1369,530,1417,603
1212,15,1975,540,2082,589
1212,16,824,456,876,567
1212,17,1064,497,1097,556
1212,18,1234,491,1272,553
1212,19,982,502,1019,539
1212,20,1400,492,1431,528
1212,21,1544,482,1593,515
1213,0,634,1198,753,1293
1213,1,690,750,783,873
1213,2,1176,742,1299,819
1213,3,2047,615,2097,734
1213,4,1426,659,1510,726
1213,5,1329,590,1397,721
1213,6,2199,595,2278,718
1213,7,1689,591,1774,688
1213,8,1952,585,2027,685
1213,9,1885,585,1925,685
1213,10,2100,582,2149,682
1213,11,1284,579,1338,673
1213,12,1002,524,1047,653
1213,13,1206,549,1262,639
1213,14,1368,530,1417,604
1213,15,1598,539,1714,603
1213,16,1980,540,2094,588
1213,17,828,457,871,563
1213,18,1063,496,1097,557
1213,19,1233,491,1272,553
1213,20,976,503,1012,547
1213,21,1400,491,1431,527
1213,22,1543,482,1589,515
1214,0,634,1189,747,1297
1214,1,689,750,784,873
1214,2,1191,741,1307,825
1214,3,2048,615,2099,733
1214,4,1427,657,1513,726
1214,5,1330,591,1402,721
1214,6,1678,592,1771,690
1214,7,1885,585,1925,685
1214,8,1280,585,1334,683
1214,9,2100,582,2149,682
1214,10,1949,589,2029,680
1214,11,1007,522,1044,652
1214,12,1199,550,1263,638
1214,13,1368,530,1417,604
1214,14,1598,537,1712,597
1214,15,2005,538,2107,589
1214,16,829,456,878,561
1214,17,1064,495,1099,559
1214,18,965,501,1003,555
1214,19,1232,491,1273,553
1214,20,1401,491,1431,526
1215,0,634,1190,745,1296
1215,1,698,746,783,876
1215,2,1199,750,1327,822
1215,3,1424,655,1514,729
1215,4,2048,616,2103,728
1215,5,1333,594,1411,718
1215,6,1285,602,1331,711
1215,7,1679,588,1769,687
1215,8,1883,583,1922,684
1215,9,2103,580,2148,683
1215,10,1943,588,2023,682
1215,11,1014,518,1049,650
1215,12,1200,548,1264,640
1215,13,1367,529,1417,606
1215,14,2009,535,2108,595
1215,15,1601,538,1706,595
1215,16,829,455,880,560
1215,17,1069,495,1103,559
1215,18,951,498,1005,557
1215,19,1233,491,1273,553
1215,20,1400,491,1431,526
1216,0,638,1199,719,1297
1216,1,718,1102,798,1278
1216,2,699,744,783,875
1216,3,1216,756,1325,821
1216,4,1429,656,1507,732
1216,5,2046,612,2099,728
1216,6,1283,613,1323,721
1216,7,1333,605,1420,709
1216,8,1680,593,1771,688
1216,9,1880,585,1919,685
1216,10,2105,580,2149,684
1216,11,1934,583,2019,683
1216,12,1016,518,1053,647
1216,13,1199,549,1264,641
1216,14,1366,528,1417,607
1216,15,1593,535,1711,597
1216,16,2014,535,2105,594
1216,17,827,451,885,571
1216,18,936,500,988,567
1216,19,1067,494,1105,558
1216,20,1234,491,1273,553
1216,21,1400,491,1431,526
1216,22,1543,483,1594,515
1217,0,641,1183,730,1299
1217,1,2291,836,2339,987
1217,2,700,744,782,875
1217,3,1222,763,1344,830
1217,4,1430,657,1505,735
1217,5,1281,619,1323,734
1217,6,2043,609,2089,728
1217,7,1340,599,1424,709
1217,8,1691,591,1776,691
1217,9,1880,584,1919,686
1217,10,2105,579,2148,685
1217,11,1937,582,2017,683
1217,12,1199,549,1265,638
1217,13,1020,517,1060,635
1217,14,1366,529,1417,609
1217,15,1595,531,1710,594
1217,16,2016,538,2108,593
1217,17,932,503,977,576
1217,18,828,451,868,574
1217,19,1069,493,1105,558
1217,20,1233,491,1273,553
1217,21,1401,492,1431,527
1217,22,1541,482,1591,515
1218,0,643,1177,738,1300
1218,1,2269,830,2358,975
1218,2,700,745,781,875
1218,3,1224,766,1356,829
1218,4,1282,620,1333,740
1218,5,1421,657,1506,736
1218,6,2036,607,2088,725
1218,7,1340,607,1432,707
1218,8,1713,593,1778,704
1218,9,1880,585,1918,687
1218,10,2107,578,2148,686
1218,11,1936,584,2018,682
1218,12,1199,548,1265,637
1218,13,1021,513,1059,632
1218,14,1366,528,1417,608
1218,15,930,505,974,597
1218,16,2020,538,2114,594
1218,17,1592,529,1696,593
1218,18,864,507,897,567
1218,19,830,451,868,563
1218,20,1070,494,1104,558
1218,21,1233,491,1273,551
1218,22,1401,492,1431,527
1218,23,1543,482,1595,516
1219,0,654,1175,732,1303
1219,1,2303,815,2356,963
1219,2,701,745,781,873
1219,3,1251,776,1361,830
1219,4,1288,620,1329,756
1219,5,1430,657,1504,737
1219,6,2025,600,2083,721
1219,7,1715,592,1779,709
1219,8,1345,609,1455,702
1219,9,2104,578,2147,687
1219,10,1879,584,1918,686
1219,11,1931,586,2015,680
1219,12,1199,548,1265,638
1219,13,1019,511,1060,628
1219,14,929,510,975,615
1219,15,1366,528,1417,609
1219,16,1590,528,1695,593
1219,17,2025,538,2123,588
1219,18,827,451,869,564
1219,19,870,507,902,563
1219,20,1070,494,1106,557
1219,21,1233,490,1272,551
1219,22,1402,492,1432,526
1219,23,1542,482,1588,516
1220,0,648,1173,736,1304
1220,1,701,743,781,874
1220,2,1254,777,1388,832
1220,3,1277,623,1320,763
1220,4,1424,654,1507,740
1220,5,2019,597,2076,719
1220,6,1721,592,1783,712
1220,7,1348,605,1449,698
1220,8,1879,585,1918,687
1220,9,2102,578,2148,685
1220,10,1929,587,2011,676
1220,11,1199,549,1265,639
1220,12,928,533,975,629
1220,13,1020,504,1057,624
1220,14,1366,528,1416,612
1220,15,1590,528,1698,593
1220,16,2028,540,2133,585
1220,17,827,452,869,568
1220,18,1069,495,1106,555
1220,19,1234,491,1272,552
1220,20,919,500,956,538
1220,21,1401,491,1431,526
1221,0,650,1173,734,1307
1221,1,1230,1061,1306,1218
1221,2,701,744,781,874
1221,3,1265,778,1399,840
1221,4,1431,660,1503,744
1221,5,2017,593,2073,721
1221,6,1728,591,1781,712
1221,7,1368,602,1447,695
1221,8,1879,585,1918,687
1221,9,2103,579,2148,687
1221,10,1929,589,2013,675
1221,11,1199,548,1265,639
1221,12,927,547,980,639
1221,13,1021,507,1058,619
1221,14,1365,527,1416,610
1221,15,1591,530,1698,594
1221,16,2038,538,2143,584
1221,17,825,452,873,569
1221,18,1069,495,1107,557
1221,19,1234,491,1272,553
1221,20,919,500,969,547
1221,21,1400,491,1431,526
1222,0,665,1165,725,1310
1222,1,1220,1065,1294,1221
1222,2,701,743,780,874
1222,3,1284,781,1411,843
1222,4,1428,664,1500,752
1222,5,1735,588,1779,713
1222,6,2015,585,2074,704
1222,7,1379,594,1480,695
1222,8,2104,578,2148,687
1222,9,1880,584,1919,687
1222,10,1928,590,2013,674
1222,11,918,551,969,652
1222,12,1201,547,1265,640
1222,13,1018,505,1061,610
1222,14,1365,527,1416,610
1222,15,1590,529,1700,592
1222,16,2051,535,2151,581
1222,17,826,450,871,576
1222,18,1068,495,1107,555
1222,19,1234,490,1272,551
1222,20,905,502,954,551
1222,21,1401,492,1432,526
1223,0,656,1165,722,1316
1223,1,1208,1043,1278,1189
1223,2,703,717,784,892
1223,3,1426,662,1491,754
1223,4,1740,592,1776,723
1223,5,2020,584,2063,706
1223,6,1388,605,1509,696
1223,7,2115,583,2152,689
1223,8,1880,584,1918,687
1223,9,1925,593,2014,670
1223,10,910,565,961,657
1223,11,1206,548,1262,640
1223,12,1365,527,1417,610
1223,13,1014,513,1062,603
1223,14,1586,530,1704,592
1223,15,2064,543,2166,589
1223,16,833,452,874,572
1223,17,902,498,954,555
1223,18,1071,496,1107,553
1223,19,1231,490,1273,549
1223,20,1400,491,1433,524
1224,0,658,1163,722,1314
1224,1,1211,985,1276,1138
1224,2,704,718,784,892
1224,3,1338,785,1437,843
1224,4,1424,664,1489,757
1224,5,1740,593,1775,723
1224,6,2031,600,2067,705
1224,7,1393,607,1514,695
1224,8,2108,577,2149,688
1224,9,1880,585,1918,687
1224,10,1926,591,2016,672
1224,11,910,577,966,666
1224,12,1202,546,1266,639
1224,13,1365,528,1417,610
1224,14,1014,510,1062,603
1224,15,1597,530,1710,597
1224,16,2074,543,2175,587
1224,17,828,457,872,566
1224,18,894,493,951,556
1224,19,1537,489,1595,555
1224,20,1070,496,1108,553
1224,21,1232,490,1274,549
1224,22,1402,491,1433,526
1225,0,658,1158,717,1321
1225,1,1259,980,1305,1104
1225,2,1216,953,1277,1100
1225,3,703,716,782,894
1225,4,1324,790,1453,845
1225,5,1421,670,1489,759
1225,6,1740,592,1777,721
1225,7,2023,589,2064,699
1225,8,1402,609,1521,695
1225,9,2106,578,2150,688
1225,10,1879,584,1918,685
1225,11,895,580,950,684
1225,12,1928,594,2014,671
1225,13,1201,547,1266,638
1225,14,1363,528,1416,611
1225,15,1014,503,1062,601
1225,16,1595,532,1715,595
1225,17,2089,530,2179,593
1225,18,862,504,895,568
1225,19,1525,501,1592,564
1225,20,902,482,957,554
1225,21,1071,497,1108,552
1225,22,1232,491,1273,551
1225,23,817,453,873,544
1225,24,1400,491,1431,526
1226,0,669,1171,714,1313
1226,1,1248,969,1289,1115
1226,2,703,717,782,893
1226,3,1344,793,1452,853
1226,4,1415,675,1491,762
1226,5,1739,593,1776,720
1226,6,2022,584,2061,699
1226,7,1413,608,1521,692
1226,8,2106,581,2150,686
1226,9,1879,584,1918,685
1226,10,1926,592,2007,671
1226,11,1207,548,1263,639
1226,12,1365,527,1417,611
1226,13,2090,546,2180,602
1226,14,1014,502,1061,599
1226,15,1596,536,1711,590
1226,16,864,509,896,567
1226,17,1516,506,1572,565
1226,18,818,459,875,557
1226,19,905,481,951,555
1226,20,1233,491,1272,552
1226,21,1071,498,1108,552
1226,22,983,501,1017,540
1227,0,664,1173,713,1313
1227,1,1239,980,1286,1122
1227,2,696,746,775,872
1227,3,1353,791,1461,848
1227,4,1408,677,1491,768
1227,5,1740,593,1778,721
1227,6,2024,586,2064,700
1227,7,2104,577,2149,688
1227,8,1879,584,1918,685
1227,9,1429,600,1537,682
1227,10,1926,593,2011,671
1227,11,1201,547,1266,638
1227,12,1365,528,1417,612
1227,13,1013,500,1062,602
1227,14,2105,535,2177,601
1227,15,1599,533,1721,587
1227,16,866,509,895,569
1227,17,1514,507,1569,568
1227,18,824,451,878,566
1227,19,902,474,951,553
1227,20,1071,498,1109,552
1227,21,1233,490,1273,551
1227,22,977,501,1012,550
1227,23,1400,491,1431,528
1228,0,663,1174,710,1315
1228,1,1239,990,1282,1132
1228,2,691,749,809,877
1228,3,1361,793,1447,846
1228,4,1407,678,1490,768
1228,5,1739,592,1776,721
1228,6,2019,585,2063,699
1228,7,1443,591,1542,689
1228,8,2105,579,2150,686
1228,9,1879,584,1918,686
1228,10,1924,594,2014,670
1228,11,1207,549,1263,635
1228,12,1360,529,1420,611
1228,13,2109,539,2187,609
1228,14,1017,500,1063,601
1228,15,1595,534,1729,586
1228,16,1508,516,1568,573
1228,17,862,512,897,566
1228,18,964,501,1001,555
1228,19,1070,497,1109,552
1228,20,900,473,949,552
1228,21,1233,490,1273,551
1228,22,819,455,892,541
1228,23,1400,492,1432,527
1229,0,663,1174,710,1316
1229,1,1241,996,1283,1130
1229,2,709,758,802,888
1229,3,1379,796,1488,858
1229,4,1405,680,1448,766
1229,5,1740,592,1776,721
1229,6,2015,581,2064,691
1229,7,2106,578,2149,687
1229,8,1879,585,1918,686
1229,9,1447,593,1559,682
1229,10,1923,595,2015,669
1229,11,1201,547,1266,639
1229,12,2118,534,2199,616
1229,13,1364,529,1417,609
1229,14,1018,502,1063,599
1229,15,1601,535,1732,589
1229,16,1503,514,1569,583
1229,17,860,510,896,567
1229,18,961,500,998,556
1229,19,899,474,950,556
1229,20,1233,491,1273,551
1229,21,1072,497,1110,551
1229,22,826,456,895,536
1229,23,1400,492,1432,526
1230,0,662,1177,713,1317
1230,1,1241,998,1283,1131
1230,2,718,759,812,885
1230,3,1390,794,1509,859
1230,4,1397,716,1446,769
1230,5,1423,663,1480,769
1230,6,2484,615,2558,756
1230,7,1741,591,1779,722
1230,8,2006,578,2066,697
1230,9,2105,578,2149,687
1230,10,1878,586,1917,686
1230,11,1460,593,1575,672
1230,12,1923,598,2017,666
1230,13,1201,547,1266,641
1230,14,2121,531,2209,616
1230,15,1365,528,1414,608
1230,16,1016,504,1065,589
1230,17,1610,533,1734,585
1230,18,1493,521,1576,583
1230,19,899,483,950,558
1230,20,959,500,1001,556
1230,21,1233,491,1273,552
1230,22,1072,496,1109,551
1230,23,825,454,906,542
1230,24,1400,492,1431,526
1231,0,660,1178,711,1319
1231,1,1240,1006,1287,1135
1231,2,730,741,784,882
1231,3,1391,802,1522,856
1231,4,2495,639,2554,781
1231,5,1407,679,1461,770
1231,6,1739,596,1782,716
1231,7,2000,581,2069,690
1231,8,1878,585,1917,686
1231,9,2104,579,2149,686
1231,10,1925,591,2014,673
1231,11,1524,597,1585,650
1231,12,1207,548,1262,639
1231,13,2125,544,2221,619
1231,14,1359,528,1415,610
1231,15,1634,538,1757,589
1231,16,1017,503,1063,585
1231,17,860,512,897,569
1231,18,901,484,947,560
1231,19,1072,496,1110,551
1231,20,1231,490,1272,551
1231,21,827,451,905,539
1231,22,1400,492,1432,526
1232,0,1373,1314,1441,1491
1232,1,661,1176,713,1319
1232,2,1232,1018,1292,1148
1232,3,690,735,773,863
1232,4,1412,809,1534,863
1232,5,1401,688,1477,767
1232,6,1382,604,1438,721
1232,7,1740,589,1784,711
1232,8,2103,578,2148,687
1232,9,1878,585,1917,686
1232,10,2003,589,2074,678
1232,11,1923,591,2012,677
1232,12,1202,547,1266,639
1232,13,2126,542,2225,621
1232,14,1363,527,1416,611
1232,15,1478,530,1560,602
1232,16,1648,540,1761,594
1232,17,1020,501,1060,584
1232,18,963,506,1003,577
1232,19,895,500,956,561
1232,20,1073,497,1109,553
1232,21,1231,491,1272,551
1232,22,830,451,910,535
1232,23,1400,492,1432,527
1233,0,1371,1277,1445,1453
1233,1,661,1176,713,1319
1233,2,1244,1027,1299,1155
1233,3,1424,808,1553,864
1233,4,687,772,804,850
1233,5,1404,685,1474,771
1233,6,1739,589,1784,710
1233,7,2103,578,2148,687
1233,8,1878,585,1917,686
1233,9,1923,591,2013,683
1233,10,1997,587,2074,678
1233,11,1483,602,1605,661
1233,12,1201,547,1266,639
1233,13,2133,547,2223,621
1233,14,1471,537,1549,615
1233,15,1355,529,1417,609
1233,16,959,517,1000,598
1233,17,1667,537,1779,586
1233,18,1023,500,1056,579
1233,19,787,513,837,565
1233,20,903,491,950,558
1233,21,1073,497,1109,552
1233,22,1231,491,1272,551
1233,23,841,452,915,539
1233,24,1399,492,1433,527
1234,0,1348,1240,1427,1403
1234,1,661,1178,714,1320
1234,2,1242,1028,1300,1154
1234,3,1434,809,1554,865
1234,4,2320,738,2425,850
1234,5,685,769,786,847
1234,6,761,704,890,803
1234,7,1403,684,1474,772
1234,8,1878,585,1917,687
1234,9,2101,580,2149,685
1234,10,1923,591,2011,682
1234,11,1991,584,2067,679
1234,12,1503,607,1617,667
1234,13,1203,549,1267,635
1234,14,1465,545,1536,628
1234,15,2137,550,2226,620
1234,16,954,522,994,613
1234,17,1359,528,1415,609
1234,18,1022,503,1068,577
1234,19,792,506,833,568
1234,20,900,488,952,560
1234,21,1075,497,1110,552
1234,22,1231,490,1272,551
1234,23,840,449,915,542
1234,24,1399,491,1433,526
1235,0,670,1182,719,1267
1235,1,1237,1028,1298,1146
1235,2,1446,811,1561,865
1235,3,2333,737,2400,864
1235,4,688,771,776,846
1235,5,722,741,852,838
1235,6,1403,685,1475,781
1235,7,1879,586,1917,688
1235,8,2097,583,2148,683
1235,9,1921,592,2006,682
1235,10,1985,587,2064,680
1235,11,1522,613,1628,668
1235,12,1738,589,1784,659
1235,13,1457,556,1534,636
1235,14,953,540,996,633
1235,15,1206,549,1263,632
1235,16,2137,568,2244,624
1235,17,1359,528,1415,609
1235,18,1695,524,1776,599
1235,19,783,508,825,584
1235,20,1021,502,1069,572
1235,21,900,487,953,560
1235,22,1075,496,1112,554
1235,23,1233,491,1273,553
1235,24,839,455,914,541
1235,25,1400,491,1433,526
1236,0,662,1179,715,1320
1236,1,1236,1022,1295,1142
1236,2,1455,810,1584,865
1236,3,683,768,774,839
1236,4,1779,688,1853,835
1236,5,761,737,889,817
1236,6,2271,689,2346,816
1236,7,1406,689,1472,779
1236,8,990,644,1104,726
1236,9,1739,587,1782,711
1236,10,1878,585,1917,687
1236,11,1984,587,2060,685
1236,12,2098,581,2147,685
1236,13,1922,589,2004,682
1236,14,1524,616,1655,671
1236,15,950,545,989,648
1236,16,1441,570,1530,646
1236,17,1208,549,1264,635
1236,18,2155,562,2248,621
1236,19,1356,529,1413,609
1236,20,1711,521,1797,602
1236,21,782,504,824,587
1236,22,1023,503,1071,562
1236,23,899,492,949,557
1236,24,1077,497,1113,552
1236,25,1232,491,1273,552
1236,26,836,458,920,538
1236,27,1399,491,1434,525
1237,0,653,1179,723,1324
1237,1,1233,1019,1292,1138
1237,2,1462,813,1591,866
1237,3,1803,704,1881,861
1237,4,683,773,779,847
1237,5,777,726,872,802
1237,6,1408,689,1470,779
1237,7,2261,650,2340,769
1237,8,1740,588,1782,712
1237,9,1983,587,2058,689
1237,10,1878,586,1917,686
1237,11,2099,581,2147,685
1237,12,1922,593,2000,683
1237,13,1553,628,1658,675
1237,14,947,555,988,660
1237,15,1421,590,1518,655
1237,16,1208,548,1263,633
1237,17,2167,567,2262,623
1237,18,1358,529,1413,609
1237,19,1698,525,1817,592
1237,20,780,510,827,586
1237,21,893,499,950,555
1237,22,1076,497,1114,552
1237,23,1019,500,1058,552
1237,24,1232,491,1273,551
1237,25,835,459,923,534
1237,26,1400,491,1434,526
1238,0,651,1179,724,1322
1238,1,1239,1013,1303,1133
1238,2,1802,732,1890,886
1238,3,1477,809,1597,864
1238,4,689,773,762,852
1238,5,799,712,873,830
1238,6,1410,687,1472,780
1238,7,2323,647,2389,770
1238,8,1741,589,1783,724
1238,9,1983,586,2058,690
1238,10,2098,581,2147,685
1238,11,1877,586,1917,685
1238,12,1922,592,2000,683
1238,13,1557,627,1660,677
1238,14,936,578,985,676
1238,15,1422,597,1514,673
1238,16,1210,548,1264,633
1238,17,2181,563,2276,626
1238,18,1357,529,1412,609
1238,19,789,521,834,590
1238,20,1702,530,1818,589
1238,21,890,497,950,556
1238,22,1018,497,1059,556
1238,23,1077,497,1115,553
1238,24,1232,491,1274,551
1238,25,832,455,915,530
1239,0,651,1181,727,1312
1239,1,1234,1017,1291,1136
1239,2,1809,757,1904,892
1239,3,1270,766,1368,880
1239,4,1479,802,1610,866
1239,5,685,777,764,853
1239,6,808,697,860,826
1239,7,1407,689,1474,784
1239,8,2319,637,2384,766
1239,9,1744,590,1786,724
1239,10,933,602,987,696
1239,11,1994,592,2047,690
1239,12,1563,627,1692,687
1239,13,2098,581,2147,686
1239,14,1877,586,1917,685
1239,15,1925,588,1998,683
1239,16,1396,609,1506,679
1239,17,1209,548,1264,633
1239,18,2193,572,2286,626
1239,19,1357,529,1413,609
1239,20,791,529,836,598
1239,21,1700,544,1825,588
1239,22,890,495,953,556
1239,23,1077,497,1115,553
1239,24,1012,500,1054,553
1239,25,1232,491,1273,551
1239,26,833,452,923,524
1240,0,643,1183,727,1310
1240,1,1240,1017,1294,1136
1240,2,1274,770,1356,897
1240,3,1505,786,1605,876
1240,4,683,779,767,851
1240,5,815,687,868,797
